LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
order	Desulfobacterales	213118	5	204	6	87	2.3448	0.0000
order	Entomoplasmatales	186328	4	123	0	61	2.0164	0.0000
order	Oceanospirillales	135619	4	126	0	122	1.0328	0.0000
order	Chroococcales	1118	4	125	0	92	1.3587	0.0000
order	Thiotrichales	72273	4	127	0	123	1.0325	0.0000
family	Prevotellaceae	171552	241470	18019925	232250	9676425	1.8623	0.2837
family	Veillonellaceae	31977	144848	10215768	140147	2740605	3.7276	0.1702
family	Lachnospiraceae	186803	104958	7655495	131377	2487786	3.0772	0.1233
family	Micrococcaceae	1268	94591	7144884	66670	4679465	1.5269	0.1111
family	Actinomycetaceae	2049	58951	4113240	66608	2321840	1.7715	0.0693
